shangpai_date,url,price,title,address,price_new,xingshi
2013-12,https://www.guazi.com/wh/595b90ee2b5efb32x.htm,¥7.44            ,大众朗逸 2013款 改款经典 1.6L 自动舒适版,武汉,"
                            新车指导价15.00万(含税)
                    ",8.5万公里
2014-06,https://www.guazi.com/wh/9f24acfced2b7832x.htm,¥18.00            ,宝马X1 2013款 sDrive18i 领先型,武汉,"
                            新车指导价35.10万(含税)
                    ",5.24万公里
2015-04,https://www.guazi.com/wh/c0c60b6b129b9b9fx.htm,¥5.90            ,标致308 2013款 1.6L 手动优尚型,武汉,"
                            新车指导价11.50万(含税)
                    ",2.93万公里
2013-12,https://www.guazi.com/wh/95ed96cd9e188b9ax.htm,¥3.04            ,东风风神S30 2013款 1.5L 手动尊雅型,武汉,"
                            新车指导价7.80万(含税)
                    ",5.99万公里
2011-11,https://www.guazi.com/wh/bbc12286b6ccc094x.htm,¥4.02            ,大众POLO 2011款 1.4L 手动致乐版,武汉,"
                            新车指导价9.30万(含税)
                    ",2.76万公里
2015-03,https://www.guazi.com/wh/1acefb81e2520d15x.htm,¥10.30            ,大众高尔夫 2015款 1.4TSI 手动舒适型,武汉,"
                            新车指导价15.30万(含税)
                    ",2.35万公里
2016-12,https://www.guazi.com/wh/1ead400897f63ee2x.htm,¥3.50            ,长安商用欧诺 2017款 1.5L基本型,武汉,"
                            新车指导价4.50万(含税)
                    ",2.77万公里
2017-03,https://www.guazi.com/wh/a59f127a0c2822cbx.htm,¥12.00            ,日产蓝鸟 2016款 1.6L CVT智酷版,武汉,"
                            新车指导价14.30万(含税)
                    ",0.6万公里
2013-01,https://www.guazi.com/wh/b50f2a1f332c0539x.htm,¥4.00            ,东风风神H30 2012款 CROSS 1.6L 手动尊尚型,武汉,"
                            新车指导价8.20万(含税)
                    ",3.85万公里
2015-07,https://www.guazi.com/wh/788e2bb8e5302a1dx.htm,¥10.88            ,现代名图 2014款 1.8L 自动尊贵型DLX,武汉,"
                            新车指导价17.30万(含税)
                    ",8.71万公里
2017-04,https://www.guazi.com/wh/18951e4c9ac02bbbx.htm,¥8.30            ,哈弗H2 2017款 红标 1.5T 手动两驱精英型,武汉,"
                            新车指导价10.20万(含税)
                    ",0.3万公里
2016-12,https://www.guazi.com/wh/e54251bb29c2c386x.htm,¥13.00            ,东风御风 2016款2.5T短轴中顶国IV,武汉,"
                    ",0.94万公里
2012-11,https://www.guazi.com/wh/ac6236d501e86457x.htm,¥7.80            ,纳智捷大7 SUV 2011款 2.2T 两驱智慧型,武汉,"
                            新车指导价23.60万(含税)
                    ",9.7万公里
2011-06,https://www.guazi.com/wh/19c6e8f44ecfdfbbx.htm,¥2.38            ,东风风神S30 2011款 1.6L 手动尊贵型,武汉,"
                            新车指导价9.10万(含税)
                    ",7.95万公里
2011-03,https://www.guazi.com/wh/434b080ab40b6293x.htm,¥10.50            ,奔驰B级 2009款 B 200 时尚型(进口),武汉,"
                            新车指导价34.60万(含税)
                    ",6.98万公里
